"#","ML #","Address","Condo Fee Includes","St","Original List Price","List Price","Current Price","Condo Fee","RMS Total","Beds","Full Baths","Style","Rooms Above Grade","Half Baths","Ensuite YN","Year Built","# FP","DOM","Stat Date","City"
"501","A2090310","164 Silverado Boulevard SW","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$449,000","$439,900.00","$437,900.00","$274.18","1,236","4","3","2 Storey","6","1","Yes","2016","0","29","11/30/2023","Calgary"
"501","A2094708","303 Mt Mckenzie Gardens SE","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Sewer","S","$459,900","$440,000.00","$437,500.00","$419.06","1,245","2","2","2 Storey","5","1","Yes","1994","1","31","12/28/2023","Calgary"
"501","A2092064","56 Kingsland Court SW","Common Area Maintenance, Insurance, Parking, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$424,900","$424,900.00","$437,500.00","$445.20","1,325","3","2","4 Level Split","5","1","Yes","1993","1","11","11/20/2023","Calgary"
"501","A2079619","132 Savanna Walk NE","Insurance, Professional Management, Snow Removal, Trash","S","$439,900","$439,900.00","$437,500.00","$319.00","1,321","3","2","3 Storey","6","1","Yes","2018","0","8","09/22/2023","Calgary"
"501","A2087999","903 Mahogany Boulevard SE Unit#44","Common Area Maintenance, Maintenance Grounds, Professional Management, Reserve Fund Contributions","S","$434,900","$434,900.00","$437,015.00","$240.00","1,101","2","2","3 Storey","5","1","Yes","2023","0","12","11/01/2023","Calgary"
"501","A2093478","649 Skyview Ranch Grove NE","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions","S","$444,900","$444,900.00","$437,000.00","$324.00","1,431","4","2","3 Storey","6","1","Yes","2014","0","16","12/01/2023","Calgary"
"501","A2088817","94 pantengo Lane NW","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$429,900","$429,900.00","$437,000.00","$286.30","1,089","2","2","2 Storey","5","1","Yes","2012","0","7","10/27/2023","Calgary"
"501","A2085288","198 Royal Oak Gardens NW","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Trash","S","$415,000","$415,000.00","$437,000.00","$318.34","1,143","3","1","2 Storey","8","1","No","2004","2","11","10/31/2023","Calgary"
"501","A2075638","4935 Dalton Drive NW Unit#206","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$448,000","$443,000.00","$437,000.00","$379.37","1,493","3","2","2 Storey","7","1","Yes","1977","2","70","11/17/2023","Calgary"
"501","A2083951","5810 Patina Drive SW Unit#52","Insurance, Professional Management, Reserve Fund Contributions, Residential Manager, Snow Removal, Trash","S","$459,900","$459,900.00","$436,750.00","$478.46","1,423","2","3","2 Storey","7","1","Yes","1990","1","27","10/24/2023","Calgary"
