"#","ML #","Address","Condo Fee Includes","St","Original List Price","List Price","Current Price","Condo Fee","RMS Total","Beds","Full Baths","Style","Rooms Above Grade","Half Baths","Ensuite YN","Year Built","# FP","DOM","Stat Date","City"
"1","A2082489","1626 29 Avenue SW Unit#1","Common Area Maintenance, Insurance, Maintenance Grounds, Snow Removal","S","$550,000","$550,000.00","$600,000.00","$300.00","1,252","2","2","2 Storey","5","2","Yes","2006","0","11","10/15/2023","Calgary"
"1","A2080701","108 Ascot Manor SW","Amenities of HOA/Condo, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$589,900","$589,900.00","$600,000.00","$373.49","1,383","3","2","3 Storey","7","1","Yes","2012","0","10","09/24/2023","Calgary"
"1","A2078222","612 Greenbriar Common NW","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Residential Manager, Snow Removal, Trash","S","$618,000","$618,000.00","$600,000.00","$286.72","1,532","4","3","3 Storey","6","1","Yes","2020","0","39","10/17/2023","Calgary"
"1","A2072505","92 Norford Common NW","Common Area Maintenance, Maintenance Grounds, Professional Management, Reserve Fund Contributions","S","$595,000","$595,000.00","$600,000.00","$210.15","1,162","2","2","3 Storey","5","1","Yes","2020","0","8","08/18/2023","Calgary"
"1","A2072377","4612 17 Avenue NW Unit#4","Insurance, Reserve Fund Contributions, See Remarks","S","$599,999","$599,999.00","$600,000.00","$200.00","1,338","3","3","2 Storey","5","1","Yes","2022","1","9","08/26/2023","Calgary"
"1","A2085521","160 Greenbriar Way NW","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$599,900","$599,900.00","$599,900.00","$260.74","1,583","4","2","3 Storey","6","1","Yes","2019","0","14","10/18/2023","Calgary"
"1","A2058571","378 Quarry Park Boulevard SE","Amenities of HOA/Condo, Common Area Maintenance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$579,900","$579,900.00","$599,000.00","$414.46","1,421","4","3","2 Storey","7","1","Yes","2013","1","21","07/13/2023","Calgary"
"1","A2060809","162 Les Jardins Park SE","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$626,400","$597,900.00","$597,900.00","$234.00","1,245","2","2","3 Storey","5","1","Yes","2021","0","156","12/03/2023","Calgary"
"1","A2060116","3710 16 Street SW Unit#2","Common Area Maintenance, Insurance, Reserve Fund Contributions","S","$625,000","$600,000.00","$597,000.00","$300.00","1,594","3","4","3 Storey","6","1","No","2008","1","27","07/18/2023","Calgary"
"1","A2091387","10 West Springs Court SW","","S","$669,000","$599,000.00","$596,000.00","","1,042","3","2","Bungalow, Side by Side","5","1","Yes","2002","1","20","11/23/2023","Calgary"
"1","A2093777","308 32 Avenue NE Unit#3","Common Area Maintenance, Insurance, Snow Removal","S","$615,000","$615,000.00","$595,000.00","$200.00","1,265","3","3","2 Storey","4","1","Yes","2023","1","12","11/28/2023","Calgary"
"1","A2073628","88 Cranbrook Drive SE","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$599,800","$599,800.00","$595,000.00","$416.71","1,331","2","2","Bungalow","5","0","Yes","2013","1","9","09/23/2023","Calgary"
"1","A2056512","279 Royal Elm Road NW","Common Area Maintenance, Insurance, Snow Removal, Trash","S","$599,900","$599,900.00","$593,000.00","$204.00","1,368","3","2","2 Storey","6","1","Yes","2021","0","27","07/06/2023","Calgary"
"1","A2060829","191 Les Jardins Park SE","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$626,400","$592,900.00","$592,900.00","$238.00","1,645","3","2","3 Storey","6","1","Yes","2023","0","167","12/14/2023","Calgary"
"1","A2063221","1632 20 Avenue NW Unit#110","Insurance, Maintenance Grounds, Parking, Reserve Fund Contributions, Trash","S","$599,999","$599,999.00","$592,500.00","$350.00","1,780","3","2","Townhouse","6","1","No","2018","0","69","09/13/2023","Calgary"
"1","A2064208","2235 26 Avenue SW Unit#2","Amenities of HOA/Condo, Common Area Maintenance, Parking, Professional Management, Reserve Fund Contributions, Snow Removal","S","$598,000","$598,000.00","$590,000.00","$414.30","1,217","3","3","2 Storey","5","1","Yes","2015","1","36","08/16/2023","Calgary"
"1","A2055473","1329 17 Avenue NW Unit#1","Common Area Maintenance, Insurance, Parking, Reserve Fund Contributions, Snow Removal","S","$595,000","$595,000.00","$590,000.00","$329.64","1,209","3","3","2 Storey","5","1","Yes","2013","1","24","07/02/2023","Calgary"
"1","A2093040","411 Point McKay Gardens NW","Common Area Maintenance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water","S","$579,900","$579,900.00","$587,000.00","$648.92","1,410","3","2","2 Storey","7","1","Yes","1978","1","5","11/22/2023","Calgary"
"1","A2094040","100 Na'a Heights SW","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Trash","S","$608,000","$598,000.00","$585,000.00","$256.00","1,578","3","3","3 Storey","5","1","Yes","2020","0","26","12/19/2023","Calgary"
"1","A2091746","2410 Kensington Road NW Unit#2","Amenities of HOA/Condo, Insurance, Professional Management, Reserve Fund Contributions","S","$615,000","$597,500.00","$585,000.00","$200.00","1,579","3","3","3 Storey","5","2","Yes","2003","1","48","12/24/2023","Calgary"
"1","A2087491","176 Lucas Boulevard NW","","S","$595,000","$595,000.00","$585,000.00","","1,216","3","3","2 Storey","7","1","Yes","2020","0","46","12/01/2023","Calgary"
"1","A2067227","94 Spring Willow Close SW","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$579,900","$579,900.00","$585,000.00","$235.90","1,243","2","2","3 Storey","7","1","Yes","2023","0","15","08/03/2023","Calgary"
"1","A2064870","23 Marine Drive SE","","S","$589,900","$589,900.00","$585,000.00","","1,327","4","3","2 Storey","6","1","Yes","2014","0","4","07/15/2023","Calgary"
"1","A2056070","1754 8 Avenue NW Unit#3","Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Snow Removal","S","$574,900","$574,900.00","$585,000.00","$570.00","1,578","2","2","2 Storey","7","2","Yes","1979","1","22","07/01/2023","Calgary"
"1","A2085632","330 Lucas Avenue NW","","S","$619,900","$609,900.00","$584,900.00","","1,985","4","3","3 Storey","6","1","Yes","2023","0","76","12/19/2023","Calgary"
"1","A2075681","1427 Na'a Drive SW","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Trash","S","$583,800","$583,800.00","$583,800.00","$242.66","1,484","3","2","3 Storey","7","1","Yes","2024","0","39","10/24/2023","Calgary"
"1","A2094994","10 Discovery Ridge Hill SW Unit#402","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$574,999","$574,999.00","$580,000.00","$479.21","1,644","3","2","3 Storey","6","1","No","2006","1","13","12/13/2023","Calgary"
"1","A2072078","219 Aspen Stone Boulevard SW","Insurance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$565,000","$565,000.00","$580,000.00","$247.16","1,618","3","2","2 Storey","6","2","Yes","2006","1","8","08/17/2023","Calgary"
"1","A2060715","804 Greenbriar Common NW","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$615,000","$595,000.00","$580,000.00","$268.29","1,445","3","3","Townhouse","6","1","No","2019","1","60","08/23/2023","Calgary"
"1","A2051116","125 Shawnee Common SW","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$599,000","$599,000.00","$579,000.00","$448.56","1,434","3","2","3 Storey","6","1","Yes","2019","1","42","07/05/2023","Calgary"
"1","A2088017","2508 21 Avenue SW","Common Area Maintenance, Insurance, Parking, Reserve Fund Contributions, Snow Removal","S","$645,000","$599,000.00","$578,450.00","$387.00","1,408","3","2","2 Storey, Side by Side","6","0","Yes","1997","1","46","12/08/2023","Calgary"
"1","A2078644","96 West Springs Way SW","","S","$510,000","$510,000.00","$576,000.00","","1,232","2","2","2 Storey","5","1","Yes","2001","1","2","09/24/2023","Calgary"
"1","A2071529","61 Crestridge Common SW","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$595,000","$589,000.00","$576,000.00","$265.09","1,417","3","3","2 Storey","6","1","Yes","2019","0","37","09/12/2023","Calgary"
"1","A2084420","202 Point Mckay Terrace NW","Common Area Maintenance, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Snow Removal","S","$525,000","$525,000.00","$575,000.00","$405.00","1,419","3","2","4 Level Split","6","1","Yes","1979","1","13","10/12/2023","Calgary"
"1","A2083585","3240 66 Avenue SW Unit#1305","Common Area Maintenance, Insurance, Professional Management, Snow Removal, Trash, Water","S","$524,500","$524,500.00","$575,000.00","$581.00","1,655","2","2","2 Storey","6","1","Yes","1976","1","7","10/06/2023","Calgary"
"1","A2080455","1933 26 Street SW Unit#2","Common Area Maintenance, Insurance, Reserve Fund Contributions, Snow Removal","S","$599,000","$589,000.00","$575,000.00","$355.76","1,609","3","2","3 Storey","7","1","Yes","2009","1","31","10/14/2023","Calgary"
"1","A2078777","206 Point Mckay Terrace NW","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water","S","$550,000","$550,000.00","$575,000.00","$405.00","1,565","3","2","4 Level Split","7","1","Yes","1979","1","5","09/11/2023","Calgary"
"1","A2073138","535 20 Avenue NW","Common Area Maintenance, Insurance, Parking, Professional Management, Snow Removal","S","$579,900","$579,900.00","$575,000.00","$345.00","1,089","3","3","2 Storey","4","1","Yes","2017","0","12","08/24/2023","Calgary"
"1","A2069953","932 Crestridge Common SW","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$624,900","$599,900.00","$575,000.00","$230.01","1,873","3","2","3 Storey","8","1","Yes","2021","0","37","09/07/2023","Calgary"
"1","A2066316","268 Quarry Park Boulevard SE","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$625,000","$599,900.00","$575,000.00","$422.54","1,617","3","2","2 Storey","7","1","Yes","2010","1","61","09/17/2023","Calgary"
"1","A2054931","132 Crestridge Common SW","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$599,900","$575,000.00","$575,000.00","$250.08","1,304","3","3","2 Storey","6","1","Yes","2021","0","119","10/05/2023","Calgary"
"1","A2086806","4809 Bowness Road NW Unit#1","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Reserve Fund Contributions","S","$569,999","$569,999.00","$574,933.25","$250.00","1,244","3","3","2 Storey, Side by Side","4","1","Yes","2018","2","12","10/24/2023","Calgary"
"1","A2096094","218 Carrington Gate NW","","S","$574,900","$574,900.00","$574,900.00","","1,384","3","2","2 Storey","7","1","Yes","2023","0","19","12/21/2023","Calgary"
"1","A2077808","252 Point Mckay Terrace NW","Common Area Maintenance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Trash, Water","S","$575,000","$575,000.00","$572,000.00","$405.00","1,586","3","2","2 Storey","7","1","Yes","1979","1","15","09/16/2023","Calgary"
"1","A2067001","950 Crestridge Common SW","Amenities of HOA/Condo, Parking, Professional Management, Reserve Fund Contributions","S","$609,000","$579,999.00","$571,000.00","$244.00","1,814","3","2","3 Storey","7","1","Yes","2023","0","83","10/13/2023","Calgary"
"1","A2075670","1453 Na'a Drive SW Unit#804","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Trash","S","$570,098","$570,098.00","$570,098.00","$225.87","1,461","3","2","3 Storey","7","1","Yes","2024","0","115","01/08/2024","Calgary"
"1","A2098074","199 Edgemont Estates Drive NW","","S","$550,000","$550,000.00","$570,000.00","","1,311","4","2","4 Level Split","5","1","Yes","1979","1","5","12/22/2023","Calgary"
"1","A2078177","185 Woodridge Drive SW Unit#18","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Water","S","$599,900","$579,900.00","$570,000.00","$596.51","1,455","3","3","Bungalow","5","0","No","1980","1","28","10/02/2023","Calgary"
"1","A2070378","213 Point McKay Terrace NW","Common Area Maintenance, Maintenance Grounds, Professional Management, Residential Manager, Snow Removal","S","$550,000","$550,000.00","$570,000.00","$405.00","1,339","3","2","2 Storey","6","1","Yes","1979","1","11","08/14/2023","Calgary"
"1","A2062337","137 Crestridge Common SW","Amenities of HOA/Condo, Insurance, Reserve Fund Contributions, Snow Removal, Trash","S","$579,000","$579,000.00","$570,000.00","$255.00","1,534","3","2","2 Storey","7","1","Yes","2019","0","13","07/13/2023","Calgary"
"1","A2051900","3439 17 Street SW","Common Area Maintenance, Insurance, Reserve Fund Contributions, Snow Removal","S","$588,800","$588,800.00","$570,000.00","$315.00","697","2","2","Bungalow","3","1","Yes","2014","1","62","07/26/2023","Calgary"
"1","A2060623","133 Shawnee Common SW","Amenities of HOA/Condo, Common Area Maintenance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$598,500","$582,500.00","$569,000.00","$448.56","1,449","3","2","2 Storey","6","1","Yes","2017","0","95","09/26/2023","Calgary"
"1","A2080685","229 CARRINGTON Boulevard NW","","S","$560,000","$560,000.00","$568,000.00","","1,388","3","2","2 Storey","8","1","Yes","2023","0","12","09/27/2023","Calgary"
"1","A2076796","414 Point Mckay Gardens NW","Common Area Maintenance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water","S","$568,000","$568,000.00","$568,000.00","$661.77","1,447","3","2","2 Storey","6","1","Yes","1978","1","5","09/05/2023","Calgary"
"1","A2072627","3511 14A Street SW Unit#204","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$549,900","$549,900.00","$566,500.00","$352.00","1,357","2","1","2 Storey","6","1","No","1999","1","10","08/28/2023","Calgary"
"1","A2079520","20733 Main Street SE","","S","$564,900","$564,900.00","$564,900.00","","1,415","3","2","4 Level Split","6","0","Yes","2022","0","89","12/08/2023","Calgary"
"1","A2060680","206 Wentworth Villas SW","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$569,000","$569,000.00","$564,000.00","$338.84","1,480","3","2","4 Level Split","6","1","Yes","2008","0","15","07/08/2023","Calgary"
"1","A2094943","838 Mcpherson Road NE Unit#2","Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Snow Removal","S","$599,900","$599,900.00","$560,000.00","$425.00","1,556","2","3","3 Storey","6","1","Yes","2014","1","27","12/27/2023","Calgary"
"1","A2094365","1304 2 Street NE","Common Area Maintenance, Insurance, Maintenance Grounds, Reserve Fund Contributions, Snow Removal","S","$569,999","$569,999.00","$560,000.00","$199.00","1,177","3","3","2 Storey","6","1","Yes","2013","1","23","12/13/2023","Calgary"
"1","A2091161","1616 24 Avenue NW Unit#206","Common Area Maintenance, Insurance, Reserve Fund Contributions, Snow Removal","S","$575,000","$575,000.00","$560,000.00","$400.00","1,385","3","3","3 Storey","5","1","Yes","2016","1","13","11/15/2023","Calgary"
"1","A2085427","115 Cornerstone Path NE","","S","$549,900","$549,900.00","$560,000.00","","1,423","3","2","2 Storey","6","1","Yes","2023","0","10","10/20/2023","Calgary"
"1","A2080130","60 Amblefield Terrace NW","","S","$549,900","$549,900.00","$560,000.00","","1,450","3","2","2 Storey","7","1","Yes","2023","0","13","10/01/2023","Calgary"
"1","A2077149","1415 Cornerstone Boulevard NE","","S","$590,000","$579,900.00","$560,000.00","","1,430","3","3","2 Storey","7","0","Yes","2023","0","113","12/29/2023","Calgary"
"1","A2076416","1379 Cornerstone Boulevard NE","","S","$579,900","$579,900.00","$560,000.00","","1,462","4","3","2 Storey","8","0","No","2023","0","60","10/26/2023","Calgary"
"1","A2068626","144 Edgemont Estates Drive NW","","S","$548,888","$548,888.00","$560,000.00","","1,957","3","2","4 Level Split","7","1","Yes","1979","1","9","08/05/2023","Calgary"
"1","A2047977","150 Homestead Boulevard NE","","S","$574,900","$574,900.00","$560,000.00","","1,152","5","3","2 Storey","6","1","Yes","2020","0","67","07/19/2023","Calgary"
"1","A2081703","4733 17 Avenue NW Unit#1","Common Area Maintenance, Insurance, Parking, Reserve Fund Contributions","S","$549,000","$549,000.00","$559,000.00","$250.00","1,446","3","3","3 Storey","5","1","Yes","2013","1","13","10/05/2023","Calgary"
"1","A2070897","125 Les Jardins Park SE","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$559,900","$559,900.00","$559,000.00","$238.00","1,466","3","2","3 Storey","7","1","Yes","2020","0","17","08/20/2023","Calgary"
"1","A2060631","6 Cranleigh Heath SE","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$539,900","$539,900.00","$558,300.00","$457.38","1,655","4","3","2 Storey","7","1","Yes","2006","1","11","07/04/2023","Calgary"
"1","A2066255","90 Spring Willow Close SW","Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$569,900","$569,900.00","$558,000.00","$237.68","1,248","2","2","3 Storey","6","1","Yes","2023","0","4","07/21/2023","Calgary"
"1","A2081783","258 Inglewood Grove SE","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$524,900","$524,900.00","$557,000.00","$310.82","1,186","3","2","4 Level Split","6","1","Yes","2000","1","6","10/03/2023","Calgary"
"1","A2060056","1542 34 Avenue SW","Common Area Maintenance, Insurance, Parking, Reserve Fund Contributions","S","$559,900","$559,900.00","$556,500.00","$391.00","1,377","2","2","2 Storey","6","1","Yes","2009","1","15","07/07/2023","Calgary"
"1","A2095015","217 Point Mckay Terrace NW","Common Area Maintenance, Insurance, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water","S","$574,900","$559,900.00","$555,000.00","$405.00","1,436","3","2","4 Level Split","6","1","Yes","1979","1","25","12/19/2023","Calgary"
"1","A2084278","80 Amblefield Terrace NW","","S","$549,900","$549,900.00","$555,000.00","","1,450","3","2","2 Storey","7","1","Yes","2023","0","12","10/10/2023","Calgary"
"1","A2068124","1717 27 Avenue SW Unit#6","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$575,000","$575,000.00","$555,000.00","$725.73","1,778","3","2","3 Storey","8","1","Yes","2007","2","13","08/06/2023","Calgary"
"1","A2069638","903 Mahogany Boulevard SE Unit#54","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$549,900","$549,900.00","$554,799.00","$320.00","1,424","3","2","3 Storey","4","1","Yes","2023","0","70","10/11/2023","Calgary"
"1","A2091603","668 Savanna Boulevard NE","","S","$569,900","$569,900.00","$554,000.00","","1,272","4","3","2 Storey","6","1","Yes","2022","0","36","12/09/2023","Calgary"
"1","A2077879","4731 17 Avenue NW Unit#1","Common Area Maintenance, Insurance, Reserve Fund Contributions","S","$549,900","$549,900.00","$554,000.00","$250.00","1,475","3","3","3 Storey","5","1","Yes","2013","1","13","09/14/2023","Calgary"
"1","A2083182","14 Belvedere Avenue SE","","S","$575,000","$559,900.00","$552,500.00","","1,428","3","2","2 Storey","7","1","Yes","2021","0","57","11/23/2023","Calgary"
"1","A2090811","21 Carringvue Link NW","","S","$549,900","$549,900.00","$552,000.00","","1,221","4","3","2 Storey","6","1","Yes","2019","0","14","11/22/2023","Calgary"
"1","A2081281","260 Ambleton Street NW","","S","$550,000","$550,000.00","$552,000.00","","1,444","3","2","2 Storey","6","1","Yes","2023","0","11","09/26/2023","Calgary"
"1","A2063318","10 West Springs Court SW","","S","$519,800","$519,800.00","$551,000.00","","1,044","2","2","Bungalow","3","1","Yes","2002","1","1","07/13/2023","Calgary"
"1","A2061983","18 Valley Ridge Heights NW","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water","S","$500,000","$500,000.00","$551,000.00","$472.00","1,178","3","3","Bungalow","5","0","Yes","2003","2","2","07/01/2023","Calgary"
"1","A2082752","51 Mahogany Drive SE","","S","$559,900","$559,900.00","$550,000.00","","1,185","4","3","2 Storey","7","1","Yes","2015","0","7","09/29/2023","Calgary"
"1","A2076716","71 Cornerstone Path NE","","S","$599,900","$569,900.00","$550,000.00","","1,416","3","2","2 Storey","6","1","Yes","2023","0","39","10/06/2023","Calgary"
"1","A2073251","26 Discovery Heights SW","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$535,000","$535,000.00","$550,000.00","$501.06","1,458","3","2","Townhouse","8","1","Yes","2000","1","11","08/25/2023","Calgary"
"1","A2064175","4037 42 Street NW Unit#239","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water","S","$549,000","$549,000.00","$550,000.00","$628.84","1,540","2","2","2 Storey","6","1","Yes","1979","2","15","07/22/2023","Calgary"
"1","A2062906","162 Mahogany Boulevard SE","","S","$529,000","$529,000.00","$550,000.00","","1,163","3","2","2 Storey","6","1","Yes","2013","0","7","07/11/2023","Calgary"
"1","A2057262","2717 17 Street SW Unit#207","Common Area Maintenance, Heat, Insurance, Parking, Reserve Fund Contributions, Sewer, Snow Removal, Water","S","$598,000","$565,000.00","$550,000.00","$623.94","1,231","2","2","2 and Half Storey","6","1","Yes","2016","0","47","08/18/2023","Calgary"
"1","A2044972","1911 24 Street SW Unit#1","Parking, Reserve Fund Contributions, See Remarks, Snow Removal","S","$545,000","$545,000.00","$550,000.00","$209.38","1,223","3","3","2 Storey","5","0","Yes","2015","1","32","09/01/2023","Calgary"
"1","A2095995","331 Union Avenue SE","","S","$549,900","$549,900.00","$549,900.00","","1,378","3","2","2 Storey","6","1","Yes","2023","0","35","01/05/2024","Calgary"
"1","A2095993","323 Union Avenue SE","","S","$549,900","$549,900.00","$549,900.00","","1,502","3","2","2 Storey","6","1","Yes","2023","0","39","01/09/2024","Calgary"
"1","A2094113","20669 Main Street SE","","S","$549,900","$549,900.00","$549,900.00","","1,335","3","2","2 Storey","6","0","Yes","2022","0","19","12/06/2023","Calgary"
"1","A2093842","903 Mahogany Boulevard SE Unit#41","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal","S","$549,900","$549,900.00","$549,900.00","$320.00","1,426","3","2","3 Storey","6","1","Yes","2023","0","13","12/07/2023","Calgary"
"1","A2074985","4037 42 Street NW Unit#258","Common Area Maintenance, Insurance, Parking, Professional Management, Reserve Fund Contributions, See Remarks, Sewer, Water","S","$549,900","$549,900.00","$549,900.00","$640.38","1,550","2","2","2 Storey","5","1","Yes","1979","1","16","09/06/2023","Calgary"
"1","A2069794","142 Shawnee Common SW","Amenities of HOA/Condo, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Water","S","$569,900","$549,900.00","$549,900.00","$435.00","1,702","3","2","3 Storey","7","1","Yes","2018","0","48","09/16/2023","Calgary"
"1","A2068078","20709 Main Street SE","","S","$599,900","$549,900.00","$549,900.00","","1,529","3","2","3 Level Split","6","0","Yes","2022","0","99","10/30/2023","Calgary"
"1","A2065311","1616 24 Avenue NW Unit#202","Insurance, Snow Removal","S","$549,900","$549,900.00","$549,900.00","$400.00","1,386","3","3","3 Storey","5","1","Yes","2016","0","6","07/19/2023","Calgary"
"1","A2066581","1302 Russell Road NE Unit#6","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$529,000","$529,000.00","$548,500.00","$427.29","1,434","4","2","2 Storey Split","7","2","Yes","2012","0","9","07/28/2023","Calgary"
"1","A2048824","4015 8 Avenue SW","Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$595,000","$560,000.00","$548,000.00","$253.66","1,227","2","2","2 Storey","5","1","Yes","2018","0","87","08/10/2023","Calgary"
"1","A2062883","367 Wolf Creek Manor SE","","S","$549,900","$549,900.00","$547,000.00","","1,320","2","2","2 Storey","5","1","Yes","2023","0","25","07/31/2023","Calgary"
"1","A2046649","1616 24 Avenue NW Unit#104","Reserve Fund Contributions, Snow Removal","S","$569,900","$550,000.00","$546,500.00","$400.00","1,104","3","3","2 Storey","5","1","Yes","2016","1","56","07/01/2023","Calgary"
"1","A2094114","87 Sage Meadows Circle NW","Amenities of HOA/Condo, Common Area Maintenance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Residential Manager, See Remarks, Snow Removal, Trash","S","$559,900","$559,900.00","$546,000.00","$284.00","1,617","3","2","3 Storey","6","1","No","2019","1","14","12/07/2023","Calgary"
"1","A2095147","152 Cornerstone Grove NE","","S","$557,900","$557,900.00","$545,000.00","","1,410","3","2","2 Storey","6","1","Yes","2023","0","14","12/09/2023","Calgary"
"1","A2089462","256 Carringham Way NW","","S","$574,990","$559,900.00","$545,000.00","","1,441","3","2","2 Storey","6","1","Yes","2023","0","32","11/25/2023","Calgary"
"1","A2085437","204 Aspen Hills Villas SW","Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$535,000","$535,000.00","$545,000.00","$250.16","1,099","3","2","2 Storey","5","1","Yes","2007","0","37","11/12/2023","Calgary"
"1","A2073534","402 Wentworth Villas SW","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash, Water","S","$555,000","$555,000.00","$545,000.00","$338.84","1,479","3","2","2 Storey","6","1","Yes","2008","0","21","09/08/2023","Calgary"
"1","A2058518","217 Edgedale Gardens NW","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Trash","S","$549,900","$549,900.00","$545,000.00","$530.48","1,391","3","2","2 Storey","7","1","Yes","1987","1","19","07/05/2023","Calgary"
"1","A2094111","20708 Main Street SE","","S","$544,900","$544,900.00","$544,900.00","","1,337","3","2","2 Storey","6","0","Yes","2022","0","18","12/05/2023","Calgary"
"1","A2068067","20673 Main Street SE","","S","$586,900","$544,900.00","$544,900.00","","1,451","3","2","2 Storey","6","0","Yes","2022","0","38","08/30/2023","Calgary"
"1","A2095965","351 Wolf Creek Manor SE","","S","$539,900","$539,900.00","$542,000.00","","1,329","2","2","2 Storey","6","1","Yes","2023","0","5","12/06/2023","Calgary"
"1","A2081481","155 Wolf Creek Avenue SE","","S","$600,000","$550,000.00","$542,000.00","","1,313","3","2","2 Storey","6","1","Yes","2020","0","39","11/07/2023","Calgary"
"1","A2063279","3130 66 Avenue SW Unit#602","Heat, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water","S","$525,000","$525,000.00","$542,000.00","$673.00","1,669","3","2","5 Level Split","6","1","Yes","1967","0","10","07/15/2023","Calgary"
"1","A2053824","109 29 Avenue NW Unit#1","Insurance, Reserve Fund Contributions","S","$559,900","$549,900.00","$541,500.00","$190.00","1,336","4","3","2 Storey","7","1","Yes","2013","1","90","08/30/2023","Calgary"
"1","A2096323","55 Savanna Street NE","","S","$550,000","$550,000.00","$541,000.00","","1,390","4","3","2 Storey","7","1","No","2016","0","18","12/22/2023","Calgary"
"1","A2065999","903 Mahogany Boulevard SE Unit#62","Insurance, Maintenance Grounds, Reserve Fund Contributions, Snow Removal","S","$539,900","$539,900.00","$541,000.00","$320.00","1,437","3","2","3 Storey","3","1","Yes","2023","0","14","08/01/2023","Calgary"
